Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2012/13,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11323
2012/13,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,14347
2012/13,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2318
2012/13,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,55316
2012/13,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,17794
2012/13,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2012/13,All codes,All admissions,All admissions,Attributable number,Male,287900
2012/13,C00-D48,All cancers,All cancers,Attributable number,Male,109100
2012/13,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,67300
2012/13,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,93900
2012/13,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,9400
2012/13,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40400
2012/13,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,10700
2012/13,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14100
2012/13,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3200
2012/13,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2012/13,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,24600
2012/13,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3100
2012/13,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3400
2012/13,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,2800
2012/13,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,1800
2012/13,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5100
2012/13,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2600
2012/13,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,43900
2012/13,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,20800
2012/13,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,26600
2012/13,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,45500
2012/13,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,4300
2012/13,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9900
2012/13,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5700
2012/13,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,1800
2012/13,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,5900
2012/13,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2500
2012/13,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1000
2012/13,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,6400
2012/13,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1700
2012/13,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,.
2012/13,All codes,All admissions,All admissions,Number of admissions,Female,5452315
2012/13,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,723009
2012/13,C00-D48,All cancers,All cancers,Number of admissions,Female,791327
2012/13,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,273740
2012/13,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,371044
2012/13,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,669566
2012/13,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,37739
2012/13,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5755
2012/13,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8273
2012/13,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,794
2012/13,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6776
2012/13,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,17928
2012/13,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4481
2012/13,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5550
2012/13,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,10624
2012/13,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4233
2012/13,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16426
2012/13,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2648
2012/13,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,60619
2012/13,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,82845
2012/13,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,122926
2012/13,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,89913
2012/13,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17121
2012/13,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,53185
2012/13,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2745
2012/13,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,3635
2012/13,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,10870
2012/13,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,18216
2012/13,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3647
2012/13,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,76686
2012/13,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,47796
2012/13,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11578
2012/13,All codes,All admissions,All admissions,Attributable number,Female,173000
2012/13,C00-D48,All cancers,All cancers,Attributable number,Female,47500
2012/13,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,63700
2012/13,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,40300
2012/13,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9100
2012/13,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,27500
2012/13,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2800
2012/13,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,4900
2012/13,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,600
2012/13,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,800
2012/13,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,5100
2012/13,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2012/13,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,600
2012/13,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,2600
2012/13,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900
2012/13,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1500
2012/13,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2100
2012/13,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,46300
2012/13,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,15200
2012/13,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12200
2012/13,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,16200
2012/13,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3000
2012/13,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,7000
2012/13,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500
2012/13,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,400
2012/13,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,4900
2012/13,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,2800
2012/13,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1400
2012/13,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,7200
2012/13,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,4700
2012/13,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,500
2011/12,All codes,All admissions,All admissions,Number of admissions,Male,4759706
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,859215
2011/12,C00-D48,All cancers,All cancers,Number of admissions,Male,750509
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,246349
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,514783
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,671345
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47124
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,14501
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,20574
2011/12,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3722
2011/12,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2011/12,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,63567
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9595
2011/12,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,14510
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,12698
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3938
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,23681
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,2934
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,52881
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,74755
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,145316
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,184963
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24327
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,52534
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9302
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,6011
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11416
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,13134
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2249
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,48495
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,16988
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2011/12,All codes,All admissions,All admissions,Attributable number,Male,287000
2011/12,C00-D48,All cancers,All cancers,Attributable number,Male,113600
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,62800
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,94000
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,9100
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,41000
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,10500
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14200
2011/12,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3000
2011/12,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2011/12,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,27900
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3200
2011/12,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3600
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,2900
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5200
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2600
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,41600
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,18600
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,26000
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,46700
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,4100
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9800
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5800
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,5900
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2200
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1000
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,5600
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1700
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,.
2011/12,All codes,All admissions,All admissions,Number of admissions,Female,5404297
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,703354
2011/12,C00-D48,All cancers,All cancers,Number of admissions,Female,782189
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,244455
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,378373
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,691319
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,37117
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5608
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8349
2011/12,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,864
2011/12,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,7083
2011/12,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,20396
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,5037
2011/12,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5614
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,11833
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,5025
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16455
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2574
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,55478
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,70664
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,119919
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,92597
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17159
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52954
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2765
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,3355
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11180
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,17255
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3483
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,69915
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,48620
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,12055
2011/12,All codes,All admissions,All admissions,Attributable number,Female,172800
2011/12,C00-D48,All cancers,All cancers,Attributable number,Female,50000
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,58500
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,42400
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9200
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,27500
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2800
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,5100
2011/12,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,700
2011/12,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,800
2011/12,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,6200
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2011/12,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,700
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,3100
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,1100
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1600
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2100
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,43200
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,13200
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12600
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,17400
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3200
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,7200
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1600
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,400
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,5100
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,2700
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1400
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,7000
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,5200
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,500
2010/11,All codes,All admissions,All admissions,Number of admissions,Male,4666529
2010/11,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,843901
2010/11,C00-D48,All cancers,All cancers,Number of admissions,Male,709061
2010/11,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,245817
2010/11,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,507991
2010/11,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,633502
2010/11,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,45891
2010/11,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,13986
2010/11,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21222
2010/11,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3953
2010/11,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2010/11,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,61938
2010/11,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9021
2010/11,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,14560
2010/11,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,13103
2010/11,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,4041
2010/11,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,20986
2010/11,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3284
2010/11,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,55192
2010/11,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,72975
2010/11,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,139779
2010/11,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,184240
2010/11,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24938
2010/11,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,51308
2010/11,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8894
2010/11,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,5541
2010/11,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11658
2010/11,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11957
2010/11,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2105
2010/11,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,46246
2010/11,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,17079
2010/11,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2010/11,All codes,All admissions,All admissions,Attributable number,Male,285900
2010/11,C00-D48,All cancers,All cancers,Attributable number,Male,112100
2010/11,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,65000
2010/11,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,92800
2010/11,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,9000
2010/11,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40000
2010/11,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,10200
2010/11,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14700
2010/11,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3200
2010/11,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2010/11,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,27400
2010/11,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3100
2010/11,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3700
2010/11,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,3000
2010/11,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2200
2010/11,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,4700
2010/11,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2900
2010/11,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,43600
2010/11,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,18400
2010/11,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,25200
2010/11,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,46900
2010/11,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,4200
2010/11,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9500
2010/11,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5600
2010/11,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,1500
